Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
rotovator,2,LR,no,n,rotary,adj,cultivator,n,,,Thurner (BAR),,,-1,,1,1,0,0,1,5,0.8,1,9,0.666666667,3,0
routinary,both,WR,no,adj,routine,adj,ordinary,adj,,,Thurner (OED),,,-2,,1,0,1,1,0.5,5,1,0,8,0.625,3,0
rubbage,both,LR,no,n,rubbish,n,garbage,n,,,Thurner (TW),,,0,,1,1,0,1,1,5,0.8,1,6,0.666666667,2,0
ruddervator,both,LR,no,n,rudder,n,elevator,n,,,Thurner (WE),,,-2,,1,1,0,1,0.5,4,1,0,7,0.714285714,2,0
rumbustious,2,LR,no,adj,rumble,v,rambunctious,adj,,,Thurner (WE),,,-1,,0.5,1,0.5,1,1,6,0.833333333,1,10,0.6,4,0
runagade,both,LR,no,n,runner,n,renegade,n,,,Thurner (BAI),,,-1,,1,1,0,1,1,4,0.75,1,7,0.857142857,1,1
rurban,both,LW,no,adj,rural,adj,urban,adj,,,Thurner (DNW),,,0,,1,1,0,1,0.5,5,0.4,3,4,1,0,1
saccharhinoceros,2,WW,no,n,saccharine,ad,rhinoceros,n,,,Thurner (OED),,,-1,,0.5,1,0.5,1,0,6,1,0,8,1,0,0
saketini,both,WR,no,n,sake,n,martini,n,,,Thurner (BG),,,-2,,0.5,1,0.5,0,1,3,0.666666667,1,7,0.714285714,2,1
salariat,2,LR,no,n,salary,n,proletariat,n,,,Thurner (WE),,,-2,,0.5,1,0.5,1,1,5,0.8,1,11,0.545454545,5,0
saloonatic,2,WW,no,n,saloon,n,lunatic,n,,,Thurner (DA),,,-1,,1,1,0,0,0,5,1,0,7,1,0,0
samink,both,LW,no,n,sable,n,mink,n,,,Thurner (BAR),,,1,,1,0.5,0.5,1,0.5,5,0.4,3,4,1,0,1
sanctanimity,2,LR,no,n,sanctimonious,adj,magnanimity,n,,,Thurner (BL),,,0,,1,1,0,0,1,12,0.583333333,5,11,0.727272727,3,1
sanctimoody,both,LW,no,adj,sanctimonious,adj,moody,adj,,,Thurner (DS),,,3,,1,1,0,1,0.5,12,0.666666667,4,4,1,0,1
Sandimals,2,WR,yes,n,sand,n,animals,n,,,Thurner (BTC),,,,,,,,,,,,,,,,
satelloon,1,LR,no,n,satellite,n,balloon,n,,,Thurner (ID),,,1,,1,0.5,0.5,1,1,7,0.714285714,2,5,0.8,1,1
satisfice,both,LR,no,v,satisfy,v,suffice,v,,,Thurner (WES),,,1,,1,0.5,0.5,1,0,7,1,0,5,1,0,0
saucerer,2,WR,no,n,saucer,n,sorcerer,n,,,Thurner (TM),,,-1,,1,1,0,0,0.5,4,1,0,6,0.833333333,1,0
savagerous,both,WR,no,adj,savage,adj,dangerous,adj,,,Thurner (AET),,,-1,,1,0,1,1,0.5,5,1,0,7,0.571428571,3,0
scance,both,LR,no,v,scan,v,glance,v,,,Thurner (BL),,,0,,1,1,0,1,0.5,4,1,0,5,0.6,2,0
scandiculous,both,LR,no,adj,scandalous,adj,ridiculous,adj,,,Thurner (BL),,,-1,,0.5,1,0.5,0,0.5,9,1,0,10,0.8,2,0
Scandiknavery,2,LW,no,n,Scandinavian,adj,knavery,n,,,Thurner (OED),,,2,,1,1,0,0,0.5,12,0.833333333,2,5,1,0,1
scarify,both,WR,no,v,scare,v,terrify,v,,,Thurner (OED),,,-2,,1,1,0,1,0.5,4,1,0,6,0.833333333,1,0
schooligan,2,WR,no,n,school,n,hooligan,n,,,Thurner (DA),,,-2,,1,1,0,0,0.5,4,1,0,7,0.857142857,1,0
scollege,2,LW,no,n,scholar,n,college,n,,,Thurner (BL),,,0,,1,1,0,0,0.5,5,0.8,1,5,1,0,1
scrapnel,2,WR,no,n,scrap,n,shrapnel,n,,,Thurner (BNE),,,-1,,1,1,0,0,0.5,5,1,0,7,0.857142857,1,0
screwmatics,2,WR,no,n,screw,n,rheumatics,n,,,Thurner (OED),,,-2,,0.5,1,0.5,1,0.5,4,1,0,9,0.888888889,1,0
scrowsy,both,LR,no,adj,screwy,adj,lousy,adj,,,Thurner (DAS),,,0,,1,1,0,1,1,5,0.8,1,4,0.75,1,0
scrumple,both,LW,no,v,squeeze,v,crumple,v,,,Thurner (WE),,,-1,,1,1,0,1,0.5,5,0.4,3,7,1,0,1
